datadate,농산물 부류명,등급코드,등급명,조사단위(kg),시도별 구분,지역명,시장코드,시장명,가격(원)
20170105,과일류,5.0,중품,10개,2501.0,대전,250112.0,역전,30000.0
20170105,과일류,5.0,중품,10개,2501.0,대전,250402.0,E-유통,39500.0
20170105,과일류,5.0,중품,10개,2601.0,울산,260001.0,신정,30000.0
20170105,과일류,5.0,중품,10개,3111.0,수원,310001.0,지동,26600.0
20170105,과일류,5.0,중품,10개,3211.0,춘천,320001.0,중앙,33000.0
20170105,과일류,5.0,중품,10개,3311.0,청주,330001.0,육거리,26600.0
20170105,과일류,5.0,중품,10개,3311.0,청주,330401.0,B-유통,27000.0
20170105,과일류,5.0,중품,10개,3511.0,전주,350001.0,남부,30000.0
20170105,과일류,5.0,중품,10개,3613.0,순천,360402.0,역전,26600.0
20170105,과일류,5.0,중품,10개,3711.0,포항,370001.0,죽도,26600.0
20170105,과일류,5.0,중품,10개,3814.0,창원,380001.0,상남,31600.0
20170106,과일류,4.0,상품,10개,1101.0,서울,110212.0,경동,30000.0
20170106,과일류,4.0,상품,10개,1101.0,서울,110213.0,복조리,36600.0
20170106,과일류,4.0,상품,10개,1101.0,서울,110401.0,E-유통,52670.0
20170106,과일류,4.0,상품,10개,1101.0,서울,110403.0,C-유통,59000.0
20170106,과일류,4.0,상품,10개,1101.0,서울,110406.0,B-유통,41670.0
20170106,과일류,4.0,상품,10개,1101.0,서울,110408.0,F-유통,52670.0
20170106,과일류,4.0,상품,10개,2100.0,부산,210022.0,부전,40000.0
20170106,과일류,4.0,상품,10개,2100.0,부산,210401.0,A-유통,37980.0
20170106,과일류,4.0,상품,10개,2100.0,부산,210402.0,D-유통,53000.0
20170106,과일류,4.0,상품,10개,2200.0,대구,220062.0,동구,30000.0
20170106,과일류,4.0,상품,10개,2200.0,대구,220401.0,C-유통,39900.0
20170106,과일류,4.0,상품,10개,2200.0,대구,220403.0,A-유통,37980.0
20170106,과일류,4.0,상품,10개,2300.0,인천,230036.0,현대,30000.0
20170106,과일류,4.0,상품,10개,2300.0,인천,230401.0,E-유통,52670.0
20170106,과일류,4.0,상품,10개,2401.0,광주,240121.0,양동,45000.0
20170106,과일류,4.0,상품,10개,2401.0,광주,240401.0,A-유통,37980.0
20170106,과일류,4.0,상품,10개,2401.0,광주,240403.0,C-유통,31800.0
20170106,과일류,4.0,상품,10개,2501.0,대전,250112.0,역전,40000.0
20170106,과일류,4.0,상품,10개,2501.0,대전,250401.0,C-유통,25600.0
20170106,과일류,4.0,상품,10개,2501.0,대전,250402.0,E-유통,52670.0
20170106,과일류,4.0,상품,10개,2601.0,울산,260001.0,신정,38300.0
20170106,과일류,4.0,상품,10개,2601.0,울산,260401.0,A-유통,37980.0
20170106,과일류,4.0,상품,10개,2701.0,세종,270101.0,C-유통,37800.0
20170106,과일류,4.0,상품,10개,3111.0,수원,310001.0,지동,40000.0
20170106,과일류,4.0,상품,10개,3111.0,수원,310402.0,B-유통,37330.0
20170106,과일류,4.0,상품,10개,3113.0,의정부,312401.0,A-유통,37980.0
20170106,과일류,4.0,상품,10개,3211.0,춘천,320001.0,중앙,40000.0
20170106,과일류,4.0,상품,10개,3214.0,강릉,321401.0,중앙,40000.0
20170106,과일류,4.0,상품,10개,3311.0,청주,330001.0,육거리,40000.0
20170106,과일류,4.0,상품,10개,3311.0,청주,330401.0,B-유통,44670.0
20170106,과일류,4.0,상품,10개,3511.0,전주,350001.0,남부,40000.0
20170106,과일류,4.0,상품,10개,3511.0,전주,350401.0,C-유통,39750.0
20170106,과일류,4.0,상품,10개,3613.0,순천,360401.0,A-유통,37980.0
20170106,과일류,4.0,상품,10개,3613.0,순천,360402.0,역전,36600.0
20170106,과일류,4.0,상품,10개,3711.0,포항,370001.0,죽도,36600.0
20170106,과일류,4.0,상품,10개,3711.0,포항,370401.0,E-유통,52670.0
20170106,과일류,4.0,상품,10개,3714.0,안동,372401.0,C-유통,37800.0
20170106,과일류,4.0,상품,10개,3814.0,창원,380001.0,상남,41600.0
20170106,과일류,4.0,상품,10개,3814.0,창원,380402.0,C-유통,37800.0
20170106,과일류,4.0,상품,10개,3911.0,제주,390001.0,동문,36600.0
20170106,과일류,4.0,상품,10개,3911.0,제주,390401.0,C-유통,31800.0
20170106,과일류,5.0,중품,10개,1101.0,서울,110212.0,경동,25000.0
20170106,과일류,5.0,중품,10개,1101.0,서울,110213.0,복조리,26600.0
20170106,과일류,5.0,중품,10개,1101.0,서울,110401.0,E-유통,39500.0
20170106,과일류,5.0,중품,10개,2100.0,부산,210022.0,부전,30000.0
20170106,과일류,5.0,중품,10개,2100.0,부산,210402.0,D-유통,29000.0
20170106,과일류,5.0,중품,10개,2200.0,대구,220062.0,동구,25000.0
20170106,과일류,5.0,중품,10개,2300.0,인천,230036.0,현대,25000.0
20170106,과일류,5.0,중품,10개,2300.0,인천,230401.0,E-유통,39500.0
20170106,과일류,5.0,중품,10개,2401.0,광주,240121.0,양동,36000.0
20170106,과일류,5.0,중품,10개,2501.0,대전,250112.0,역전,30000.0
20170106,과일류,5.0,중품,10개,2501.0,대전,250402.0,E-유통,39500.0
20170106,과일류,5.0,중품,10개,2601.0,울산,260001.0,신정,30000.0
20170106,과일류,5.0,중품,10개,3111.0,수원,310001.0,지동,26600.0
20170106,과일류,5.0,중품,10개,3211.0,춘천,320001.0,중앙,33000.0
20170106,과일류,5.0,중품,10개,3311.0,청주,330001.0,육거리,28300.0
20170106,과일류,5.0,중품,10개,3511.0,전주,350001.0,남부,30000.0
20170106,과일류,5.0,중품,10개,3613.0,순천,360402.0,역전,26600.0
20170106,과일류,5.0,중품,10개,3711.0,포항,370001.0,죽도,26600.0
20170106,과일류,5.0,중품,10개,3814.0,창원,380001.0,상남,31600.0
20170107,과일류,4.0,상품,10개,1101.0,서울,110212.0,경동,30000.0
20170107,과일류,4.0,상품,10개,1101.0,서울,110213.0,복조리,36600.0
20170107,과일류,4.0,상품,10개,1101.0,서울,110401.0,E-유통,52670.0
20170107,과일류,4.0,상품,10개,1101.0,서울,110406.0,B-유통,41670.0
20170107,과일류,4.0,상품,10개,1101.0,서울,110408.0,F-유통,52670.0
20170107,과일류,4.0,상품,10개,2100.0,부산,210022.0,부전,40000.0
20170107,과일류,4.0,상품,10개,2100.0,부산,210401.0,A-유통,39980.0
20170107,과일류,4.0,상품,10개,2100.0,부산,210402.0,D-유통,53000.0
20170107,과일류,4.0,상품,10개,2200.0,대구,220062.0,동구,30000.0
20170107,과일류,4.0,상품,10개,2200.0,대구,220401.0,C-유통,39900.0
20170107,과일류,4.0,상품,10개,2200.0,대구,220403.0,A-유통,39980.0
20170107,과일류,4.0,상품,10개,2300.0,인천,230036.0,현대,30000.0
20170107,과일류,4.0,상품,10개,2300.0,인천,230401.0,E-유통,52670.0
20170107,과일류,4.0,상품,10개,2401.0,광주,240121.0,양동,45000.0
20170107,과일류,4.0,상품,10개,2401.0,광주,240401.0,A-유통,39980.0
20170107,과일류,4.0,상품,10개,2401.0,광주,240403.0,C-유통,33800.0
20170107,과일류,4.0,상품,10개,2501.0,대전,250112.0,역전,40000.0
20170107,과일류,4.0,상품,10개,2501.0,대전,250401.0,C-유통,33800.0
20170107,과일류,4.0,상품,10개,2501.0,대전,250402.0,E-유통,52670.0
20170107,과일류,4.0,상품,10개,2601.0,울산,260001.0,신정,38300.0
20170107,과일류,4.0,상품,10개,2601.0,울산,260401.0,A-유통,39980.0
20170107,과일류,4.0,상품,10개,2701.0,세종,270101.0,C-유통,33800.0
20170107,과일류,4.0,상품,10개,3111.0,수원,310001.0,지동,40000.0
20170107,과일류,4.0,상품,10개,3111.0,수원,310402.0,B-유통,37330.0
20170107,과일류,4.0,상품,10개,3113.0,의정부,312401.0,A-유통,39980.0
20170107,과일류,4.0,상품,10개,3211.0,춘천,320001.0,중앙,40000.0
20170107,과일류,4.0,상품,10개,3214.0,강릉,321401.0,중앙,40000.0
20170107,과일류,4.0,상품,10개,3311.0,청주,330001.0,육거리,40000.0
20170107,과일류,4.0,상품,10개,3311.0,청주,330401.0,B-유통,44670.0
20170107,과일류,4.0,상품,10개,3511.0,전주,350001.0,남부,40000.0
20170107,과일류,4.0,상품,10개,3613.0,순천,360401.0,A-유통,39980.0
20170107,과일류,4.0,상품,10개,3613.0,순천,360402.0,역전,36600.0
20170107,과일류,4.0,상품,10개,3711.0,포항,370001.0,죽도,36600.0
20170107,과일류,4.0,상품,10개,3714.0,안동,372401.0,C-유통,37800.0
20170107,과일류,4.0,상품,10개,3814.0,창원,380001.0,상남,41600.0
20170107,과일류,4.0,상품,10개,3814.0,창원,380402.0,C-유통,33800.0
20170107,과일류,4.0,상품,10개,3911.0,제주,390001.0,동문,36600.0
20170107,과일류,4.0,상품,10개,3911.0,제주,390401.0,C-유통,33800.0
20170107,과일류,5.0,중품,10개,1101.0,서울,110212.0,경동,25000.0
20170107,과일류,5.0,중품,10개,1101.0,서울,110213.0,복조리,26600.0
20170107,과일류,5.0,중품,10개,1101.0,서울,110401.0,E-유통,39500.0
20170107,과일류,5.0,중품,10개,2100.0,부산,210022.0,부전,30000.0
20170107,과일류,5.0,중품,10개,2100.0,부산,210402.0,D-유통,29000.0
20170107,과일류,5.0,중품,10개,2200.0,대구,220062.0,동구,25000.0
20170107,과일류,5.0,중품,10개,2300.0,인천,230036.0,현대,25000.0
20170107,과일류,5.0,중품,10개,2300.0,인천,230401.0,E-유통,39500.0
20170107,과일류,5.0,중품,10개,2401.0,광주,240121.0,양동,36000.0
20170107,과일류,5.0,중품,10개,2501.0,대전,250112.0,역전,30000.0
20170107,과일류,5.0,중품,10개,2501.0,대전,250402.0,E-유통,39500.0
20170107,과일류,5.0,중품,10개,2601.0,울산,260001.0,신정,30000.0
20170107,과일류,5.0,중품,10개,3111.0,수원,310001.0,지동,26600.0
20170107,과일류,5.0,중품,10개,3211.0,춘천,320001.0,중앙,33000.0
20170107,과일류,5.0,중품,10개,3311.0,청주,330001.0,육거리,28300.0
20170107,과일류,5.0,중품,10개,3511.0,전주,350001.0,남부,30000.0
20170107,과일류,5.0,중품,10개,3613.0,순천,360402.0,역전,26600.0
20170107,과일류,5.0,중품,10개,3711.0,포항,370001.0,죽도,26600.0
20170107,과일류,5.0,중품,10개,3814.0,창원,380001.0,상남,31600.0
20170108,과일류,4.0,상품,10개,1101.0,서울,110212.0,경동,30000.0
20170108,과일류,4.0,상품,10개,1101.0,서울,110213.0,복조리,36600.0
20170108,과일류,4.0,상품,10개,1101.0,서울,110401.0,E-유통,52670.0
20170108,과일류,4.0,상품,10개,1101.0,서울,110403.0,C-유통,33800.0
20170108,과일류,4.0,상품,10개,1101.0,서울,110406.0,B-유통,41670.0
20170108,과일류,4.0,상품,10개,1101.0,서울,110408.0,F-유통,52670.0
20170108,과일류,4.0,상품,10개,2100.0,부산,210022.0,부전,40000.0
20170108,과일류,4.0,상품,10개,2100.0,부산,210401.0,A-유통,39980.0
20170108,과일류,4.0,상품,10개,2100.0,부산,210402.0,D-유통,53000.0
20170108,과일류,4.0,상품,10개,2200.0,대구,220062.0,동구,30000.0
20170108,과일류,4.0,상품,10개,2200.0,대구,220401.0,C-유통,39900.0
20170108,과일류,4.0,상품,10개,2200.0,대구,220403.0,A-유통,39980.0
20170108,과일류,4.0,상품,10개,2300.0,인천,230036.0,현대,30000.0
20170108,과일류,4.0,상품,10개,2300.0,인천,230401.0,E-유통,52670.0
20170108,과일류,4.0,상품,10개,2401.0,광주,240121.0,양동,45000.0
20170108,과일류,4.0,상품,10개,2401.0,광주,240401.0,A-유통,39980.0
20170108,과일류,4.0,상품,10개,2401.0,광주,240403.0,C-유통,33800.0
20170108,과일류,4.0,상품,10개,2501.0,대전,250112.0,역전,40000.0
20170108,과일류,4.0,상품,10개,2501.0,대전,250401.0,C-유통,33800.0
20170108,과일류,4.0,상품,10개,2501.0,대전,250402.0,E-유통,52670.0
20170108,과일류,4.0,상품,10개,2601.0,울산,260001.0,신정,38300.0
20170108,과일류,4.0,상품,10개,2601.0,울산,260401.0,A-유통,39980.0
20170108,과일류,4.0,상품,10개,2701.0,세종,270101.0,C-유통,33800.0
20170108,과일류,4.0,상품,10개,3111.0,수원,310001.0,지동,40000.0
20170108,과일류,4.0,상품,10개,3111.0,수원,310402.0,B-유통,39700.0
20170108,과일류,4.0,상품,10개,3113.0,의정부,312401.0,A-유통,39980.0
20170108,과일류,4.0,상품,10개,3211.0,춘천,320001.0,중앙,40000.0
20170108,과일류,4.0,상품,10개,3214.0,강릉,321401.0,중앙,40000.0
20170108,과일류,4.0,상품,10개,3311.0,청주,330001.0,육거리,40000.0
20170108,과일류,4.0,상품,10개,3311.0,청주,330401.0,B-유통,44670.0
20170108,과일류,4.0,상품,10개,3511.0,전주,350001.0,남부,40000.0
20170108,과일류,4.0,상품,10개,3613.0,순천,360401.0,A-유통,39980.0
20170108,과일류,4.0,상품,10개,3613.0,순천,360402.0,역전,36600.0
20170108,과일류,4.0,상품,10개,3711.0,포항,370001.0,죽도,36600.0
20170108,과일류,4.0,상품,10개,3711.0,포항,370401.0,E-유통,52670.0
20170108,과일류,4.0,상품,10개,3714.0,안동,372401.0,C-유통,37800.0
20170108,과일류,4.0,상품,10개,3814.0,창원,380001.0,상남,41600.0
20170108,과일류,4.0,상품,10개,3814.0,창원,380402.0,C-유통,33800.0
20170108,과일류,4.0,상품,10개,3911.0,제주,390001.0,동문,36600.0
20170108,과일류,4.0,상품,10개,3911.0,제주,390401.0,C-유통,33800.0
20170108,과일류,5.0,중품,10개,1101.0,서울,110212.0,경동,25000.0
20170108,과일류,5.0,중품,10개,1101.0,서울,110213.0,복조리,26600.0
20170108,과일류,5.0,중품,10개,1101.0,서울,110401.0,E-유통,39500.0
20170108,과일류,5.0,중품,10개,2100.0,부산,210022.0,부전,30000.0
20170108,과일류,5.0,중품,10개,2100.0,부산,210402.0,D-유통,29000.0
20170108,과일류,5.0,중품,10개,2200.0,대구,220062.0,동구,25000.0
20170108,과일류,5.0,중품,10개,2300.0,인천,230036.0,현대,25000.0
20170108,과일류,5.0,중품,10개,2300.0,인천,230401.0,E-유통,39500.0
20170108,과일류,5.0,중품,10개,2401.0,광주,240121.0,양동,36000.0
20170108,과일류,5.0,중품,10개,2501.0,대전,250112.0,역전,30000.0
20170108,과일류,5.0,중품,10개,2501.0,대전,250402.0,E-유통,39500.0
20170108,과일류,5.0,중품,10개,2601.0,울산,260001.0,신정,30000.0
20170108,과일류,5.0,중품,10개,3111.0,수원,310001.0,지동,26600.0
20170108,과일류,5.0,중품,10개,3211.0,춘천,320001.0,중앙,33000.0
20170108,과일류,5.0,중품,10개,3311.0,청주,330001.0,육거리,28300.0
20170108,과일류,5.0,중품,10개,3511.0,전주,350001.0,남부,30000.0
20170108,과일류,5.0,중품,10개,3613.0,순천,360402.0,역전,26600.0
20170108,과일류,5.0,중품,10개,3711.0,포항,370001.0,죽도,26600.0
20170108,과일류,5.0,중품,10개,3814.0,창원,380001.0,상남,31600.0
20170109,,,,,,,,,
20170110,,,,,,,,,
20170111,과일류,4.0,상품,10개,1101.0,서울,110212.0,경동,30000.0
20170111,과일류,4.0,상품,10개,1101.0,서울,110213.0,복조리,36600.0
20170111,과일류,4.0,상품,10개,1101.0,서울,110401.0,E-유통,52670.0
20170111,과일류,4.0,상품,10개,1101.0,서울,110403.0,C-유통,33800.0
20170111,과일류,4.0,상품,10개,1101.0,서울,110406.0,B-유통,41670.0
20170111,과일류,4.0,상품,10개,1101.0,서울,110408.0,F-유통,52670.0
20170111,과일류,4.0,상품,10개,2100.0,부산,210022.0,부전,40000.0
20170111,과일류,4.0,상품,10개,2100.0,부산,210401.0,A-유통,39980.0
20170111,과일류,4.0,상품,10개,2100.0,부산,210402.0,D-유통,53000.0
20170111,과일류,4.0,상품,10개,2200.0,대구,220062.0,동구,30000.0
20170111,과일류,4.0,상품,10개,2200.0,대구,220401.0,C-유통,39900.0
20170111,과일류,4.0,상품,10개,2200.0,대구,220403.0,A-유통,39980.0
20170111,과일류,4.0,상품,10개,2300.0,인천,230036.0,현대,30000.0
20170111,과일류,4.0,상품,10개,2300.0,인천,230401.0,E-유통,52670.0
20170111,과일류,4.0,상품,10개,2401.0,광주,240121.0,양동,45000.0
20170111,과일류,4.0,상품,10개,2401.0,광주,240401.0,A-유통,39980.0
20170111,과일류,4.0,상품,10개,2401.0,광주,240403.0,C-유통,33800.0
20170111,과일류,4.0,상품,10개,2501.0,대전,250112.0,역전,40000.0
20170111,과일류,4.0,상품,10개,2501.0,대전,250401.0,C-유통,33800.0
20170111,과일류,4.0,상품,10개,2501.0,대전,250402.0,E-유통,52670.0
20170111,과일류,4.0,상품,10개,2601.0,울산,260001.0,신정,38300.0
20170111,과일류,4.0,상품,10개,2601.0,울산,260401.0,A-유통,39980.0
20170111,과일류,4.0,상품,10개,2701.0,세종,270101.0,C-유통,33800.0
20170111,과일류,4.0,상품,10개,3111.0,수원,310001.0,지동,40000.0
20170111,과일류,4.0,상품,10개,3111.0,수원,310402.0,B-유통,39700.0
20170111,과일류,4.0,상품,10개,3113.0,의정부,312401.0,A-유통,39980.0
20170111,과일류,4.0,상품,10개,3211.0,춘천,320001.0,중앙,40000.0
20170111,과일류,4.0,상품,10개,3214.0,강릉,321401.0,중앙,40000.0
20170111,과일류,4.0,상품,10개,3311.0,청주,330001.0,육거리,40000.0
20170111,과일류,4.0,상품,10개,3311.0,청주,330401.0,B-유통,44670.0
20170111,과일류,4.0,상품,10개,3511.0,전주,350001.0,남부,40000.0
20170111,과일류,4.0,상품,10개,3511.0,전주,350401.0,C-유통,33800.0
20170111,과일류,4.0,상품,10개,3613.0,순천,360401.0,A-유통,39980.0
20170111,과일류,4.0,상품,10개,3613.0,순천,360402.0,역전,36600.0
20170111,과일류,4.0,상품,10개,3711.0,포항,370001.0,죽도,36600.0
20170111,과일류,4.0,상품,10개,3711.0,포항,370401.0,E-유통,52670.0
20170111,과일류,4.0,상품,10개,3714.0,안동,372401.0,C-유통,37800.0
20170111,과일류,4.0,상품,10개,3814.0,창원,380001.0,상남,41600.0
20170111,과일류,4.0,상품,10개,3814.0,창원,380402.0,C-유통,33800.0
20170111,과일류,4.0,상품,10개,3911.0,제주,390001.0,동문,36600.0
20170111,과일류,4.0,상품,10개,3911.0,제주,390401.0,C-유통,33800.0
20170111,과일류,5.0,중품,10개,1101.0,서울,110212.0,경동,25000.0
20170111,과일류,5.0,중품,10개,1101.0,서울,110213.0,복조리,26600.0
20170111,과일류,5.0,중품,10개,1101.0,서울,110401.0,E-유통,39500.0
20170111,과일류,5.0,중품,10개,2100.0,부산,210022.0,부전,30000.0
20170111,과일류,5.0,중품,10개,2100.0,부산,210402.0,D-유통,29000.0
20170111,과일류,5.0,중품,10개,2200.0,대구,220062.0,동구,25000.0
20170111,과일류,5.0,중품,10개,2300.0,인천,230036.0,현대,25000.0
20170111,과일류,5.0,중품,10개,2300.0,인천,230401.0,E-유통,39500.0
20170111,과일류,5.0,중품,10개,2401.0,광주,240121.0,양동,36000.0
20170111,과일류,5.0,중품,10개,2501.0,대전,250112.0,역전,30000.0
20170111,과일류,5.0,중품,10개,2501.0,대전,250402.0,E-유통,39500.0
